"","apprehension_date","arrests","TEXAS","WISCONSIN","ILLINOIS","MINNESOTA","OREGON"
"158",2025-09-09,302,240.428571428571,NA,NA,NA,NA
"159",2025-09-09,6,NA,3.85714285714286,NA,NA,NA
"160",2025-09-10,16,NA,NA,14.2857142857143,NA,NA
"161",2025-09-10,12,NA,NA,NA,8.42857142857143,NA
"162",2025-09-10,3,NA,NA,NA,NA,3.42857142857143
"163",2025-09-10,328,243,NA,NA,NA,NA
"164",2025-09-10,6,NA,3.85714285714286,NA,NA,NA
"165",2025-09-11,21,NA,NA,17.7142857142857,NA,NA
"166",2025-09-11,13,NA,NA,NA,9.71428571428571,NA
"167",2025-09-11,2,NA,NA,NA,NA,4.28571428571429
"168",2025-09-11,320,251.285714285714,NA,NA,NA,NA
"169",2025-09-11,1,NA,4.14285714285714,NA,NA,NA
"170",2025-09-12,27,NA,NA,21.7142857142857,NA,NA
"171",2025-09-12,4,NA,NA,NA,9.28571428571429,NA
"172",2025-09-12,2,NA,NA,NA,NA,4.14285714285714
"173",2025-09-12,285,261.714285714286,NA,NA,NA,NA
"174",2025-09-12,8,NA,5,NA,NA,NA
"175",2025-09-13,11,NA,NA,26,NA,NA
"176",2025-09-13,1,NA,NA,NA,NA,4.14285714285714
"177",2025-09-13,162,266.571428571429,NA,NA,NA,NA
"178",2025-09-13,2,NA,5.28571428571429,NA,NA,NA
"179",2025-09-14,29,NA,NA,30,NA,NA
"180",2025-09-14,3,NA,5.42857142857143,NA,9,NA
"181",2025-09-14,165,267.285714285714,NA,NA,NA,NA
"182",2025-09-15,34,NA,NA,34,NA,NA
"183",2025-09-15,10,NA,NA,NA,8.71428571428571,NA
"184",2025-09-15,270,267.857142857143,NA,NA,NA,NA
"185",2025-09-15,9,NA,5.57142857142857,NA,NA,NA
"186",2025-09-16,44,NA,NA,34.2857142857143,NA,NA
"187",2025-09-16,10,NA,NA,NA,7.71428571428571,NA
"188",2025-09-16,9,NA,NA,NA,NA,4.28571428571429
"189",2025-09-16,336,266.714285714286,NA,NA,NA,NA
"190",2025-09-16,8,NA,5.14285714285714,NA,NA,NA
"191",2025-09-17,44,NA,NA,35.8571428571429,NA,NA
"192",2025-09-17,11,NA,NA,NA,7.28571428571429,NA
"193",2025-09-17,5,NA,NA,NA,NA,4.14285714285714
"194",2025-09-17,333,268.571428571429,NA,NA,NA,NA
"195",2025-09-17,7,NA,6.28571428571429,NA,NA,NA
"196",2025-09-18,49,NA,NA,36.4285714285714,NA,NA
"197",2025-09-18,10,NA,NA,NA,8.28571428571429,NA
"198",2025-09-18,7,NA,NA,NA,NA,4
"199",2025-09-18,324,263.285714285714,NA,NA,NA,NA
"200",2025-09-18,2,NA,7,NA,NA,NA
"201",2025-09-19,29,NA,NA,33.8571428571429,NA,NA
"202",2025-09-19,6,NA,NA,NA,8.71428571428571,NA
"203",2025-09-19,4,NA,NA,NA,NA,4.14285714285714
"204",2025-09-19,277,261.714285714286,NA,NA,NA,NA
"205",2025-09-19,5,NA,6.71428571428571,NA,NA,NA
"206",2025-09-20,22,NA,NA,34.4285714285714,NA,NA
"207",2025-09-20,1,NA,NA,NA,8,3.85714285714286
"208",2025-09-20,175,264.428571428571,NA,NA,NA,NA
"209",2025-09-21,33,NA,NA,34.1428571428571,NA,NA
"210",2025-09-21,128,252.714285714286,NA,NA,NA,NA
"211",2025-09-21,10,NA,6.28571428571429,NA,NA,NA
"212",2025-09-22,16,NA,NA,32.5714285714286,NA,NA
"213",2025-09-22,10,NA,NA,NA,8,NA
"214",2025-09-22,1,NA,NA,NA,NA,4.57142857142857
"215",2025-09-22,259,244.714285714286,NA,NA,NA,NA
"216",2025-09-22,8,NA,8.57142857142857,NA,NA,NA
"217",2025-09-23,48,NA,NA,31.2857142857143,NA,NA
"218",2025-09-23,13,NA,NA,NA,7.28571428571429,NA
"219",2025-09-23,2,NA,NA,NA,NA,5.14285714285714
"220",2025-09-23,355,245.285714285714,NA,NA,NA,NA
"221",2025-09-23,7,NA,9,NA,NA,NA
"222",2025-09-24,42,NA,NA,31.7142857142857,NA,NA
"223",2025-09-24,5,NA,8.42857142857143,NA,6.85714285714286,NA
"224",2025-09-24,7,NA,NA,NA,NA,5.28571428571429
"225",2025-09-24,251,246.142857142857,NA,NA,NA,NA
"226",2025-09-25,38,NA,NA,33.4285714285714,NA,NA
"227",2025-09-25,11,NA,NA,NA,8.85714285714286,NA
"228",2025-09-25,10,NA,NA,NA,NA,5.85714285714286
"229",2025-09-25,268,251.285714285714,NA,NA,NA,NA
"230",2025-09-25,23,NA,7.14285714285714,NA,NA,NA
"231",2025-09-26,20,NA,NA,36,NA,NA
"232",2025-09-26,5,NA,6.71428571428571,NA,8.71428571428571,NA
"233",2025-09-26,281,240.857142857143,NA,NA,NA,NA
"234",2025-09-27,25,NA,NA,36.8571428571429,NA,NA
"235",2025-09-27,181,238.714285714286,NA,NA,NA,NA
"236",2025-09-27,1,NA,6.14285714285714,NA,NA,NA
"237",2025-09-28,45,NA,NA,39.7142857142857,NA,NA
"238",2025-09-28,3,NA,NA,NA,8.57142857142857,NA
"239",2025-09-28,164,253.285714285714,NA,NA,NA,NA
"240",2025-09-28,1,NA,6.42857142857143,NA,NA,NA
"241",2025-09-29,34,NA,NA,41.1428571428571,NA,NA
"242",2025-09-29,15,NA,NA,NA,9.71428571428571,NA
"243",2025-09-29,11,NA,NA,NA,NA,6
"244",2025-09-29,186,262.714285714286,NA,NA,NA,NA
"245",2025-09-29,5,NA,4.57142857142857,NA,NA,NA
"246",2025-09-30,54,NA,NA,44.5714285714286,NA,NA
"247",2025-09-30,9,NA,NA,NA,9.57142857142857,NA
"248",2025-09-30,5,NA,NA,NA,NA,6
"249",2025-09-30,340,281.571428571429,NA,NA,NA,NA
"250",2025-09-30,3,NA,4.57142857142857,NA,NA,NA
"251",2025-10-01,62,NA,NA,48,NA,NA
"252",2025-10-01,12,NA,NA,NA,9.14285714285714,NA
"253",2025-10-01,5,NA,NA,NA,NA,5.14285714285714
"254",2025-10-01,353,280.428571428571,NA,NA,NA,NA
